V3RD,V4RD,V5RD,V3SRD,V4SRD,LSIRD,TanakaRD,V3IS,V4IS,V5IS,V3SIS,V4SIS,LSIIS,TanakaIS,Prop,Prop_class
-21.0296,-14.0955,-8.60347,-25.6196,-22.9949,0.218035,1.0895,-23.2718,-19.6603,-8.98689,-28.3946,-25.6283,0.220383,1.08924,1.59995329,1
-17.8977,-17.6642,-8.68107,-24.5732,-20.4753,0.136338,0.903719,-18.1175,-15.9421,-5.14199,-23.5597,-14.725,0.0695085,0.689608,0.952095628,0
-17.2116,-14.8911,-7.61222,-19.5951,-14.2645,0.0758832,0.331599,-18.38,-17.8018,-7.35683,-19.1866,-14.3813,0.0734923,0.707844,0.613027811,0
-21.6864,-19.9093,-5.72861,-22.1182,-21.7028,0.204959,1.12376,-23.4953,-21.0062,-5.52194,-25.7805,-23.8596,0.371875,1.4272,0.754577398,0
-22.5311,-19.6977,-7.97238,-23.53,-22.4326,0.0810979,0.784263,-23.3167,-21.2256,-8.52846,-27.2712,-23.9768,0.233012,1.13989,0.342608958,0
-21.4403,-14.7481,-9.01946,-24.4642,-16.463,0.152643,1.01075,-26.8609,-16.2572,-6.79733,-25.9411,-25.8566,0.259224,1.21519,0.628406703,0
-23.5233,-20.2042,-6.12146,-26.6683,-22.9065,0.143143,0.94434,-23.1458,-19.6744,-6.30493,-27.3231,-21.9315,0.310681,1.3231,0.587468088,0
-21.6785,-15.4639,-8.384,-30.8626,-20.4229,0.0502195,0.677217,-20.0196,-19.1499,-8.75555,-26.4983,-24.7534,0.0591822,0.627194,0.345718414,0
-21.7679,-19.5228,-6.73021,-28.8398,-28.1505,0.136645,0.949839,-25.4398,-24.5916,-6.38591,-31.3195,-31.0419,0.296407,1.2688,0.371747941,0
-22.8404,-21.1951,-5.49106,-23.9606,-23.9296,0.135939,0.920382,-23.638,-20.8478,-4.94713,-23.8564,-23.0849,0.328533,1.33991,0.571771741,0
-21.7286,-19.4198,-6.76963,-24.6398,-20.8738,0.198709,1.10172,-23.6287,-23.1063,-6.87282,-27.2795,-25.7974,0.419532,1.50592,0.253791153,0
-25.8459,-21.2875,-7.14039,-29.9354,-18.499,0.215951,1.08009,-26.2573,-18.1709,-5.43834,-29.2412,-16.8754,0.355181,1.38662,0.989900887,1
-18.7947,-14.7896,-6.0669,-22.5852,-14.8149,0.227248,1.15717,-21.9777,-19.5251,-6.75346,-25.0526,-19.0622,0.177241,0.994294,0.351555675,0
-22.1168,-18.0072,-5.68338,-28.1294,-21.8405,0.0684875,0.53891,-23.009,-21.2181,-6.1586,-31.0513,-23.1685,0.168947,0.957807,0.966005147,0
-19.7559,-13.9639,-5.69673,-26.2741,-22.1189,0.185318,1.04578,-24.8573,-18.6181,-6.55831,-28.1741,-27.1053,0.292141,1.27036,1.77341628,1
